Hotel_name,Date,Price,Memnum,Rate,Grade,Address
롯데 호텔 제주,07.25.Tue,500000,1,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,07.25.Tue,76186,1,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,07.25.Tue,620000,1,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,07.25.Tue,60911,1,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,07.25.Tue,204680,1,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,07.25.Tue,114436,1,8.1,5,"제주, 대한민국"
에코랜드 호텔,07.25.Tue,344213,1,8.6,5,"제주, 대한민국"
제주 신라 호텔,07.25.Tue,496548,1,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,07.25.Tue,181818,1,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,07.25.Tue,427998,1,8.8,5,"제주, 대한민국"
신라스테이 제주,07.25.Tue,113850,1,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,07.25.Tue,88055,1,7.7,4,"제주, 대한민국"
호텔 브릿지 서귀포,07.25.Tue,83471,1,8.0,4,"서귀포, 대한민국"
제주 부영 호텔&리조트,07.25.Tue,180992,1,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,07.25.Tue,345454,1,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,07.25.Tue,92752,1,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,07.25.Tue,48348,1,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,07.25.Tue,113843,1,8.2,4,"제주, 대한민국"
그랜드 조선 제주,07.25.Tue,433500,1,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,07.25.Tue,176786,1,8.5,4,"제주, 대한민국"
롯데 호텔 제주,07.25.Tue,500000,2,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,07.25.Tue,76186,2,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,07.25.Tue,620000,2,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,07.25.Tue,60911,2,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,07.25.Tue,204680,2,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,07.25.Tue,114436,2,8.1,5,"제주, 대한민국"
에코랜드 호텔,07.25.Tue,344213,2,8.6,5,"제주, 대한민국"
제주 신라 호텔,07.25.Tue,496548,2,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,07.25.Tue,181818,2,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,07.25.Tue,427998,2,8.8,5,"제주, 대한민국"
신라스테이 제주,07.25.Tue,113850,2,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,07.25.Tue,88055,2,7.7,4,"제주, 대한민국"
호텔 브릿지 서귀포,07.25.Tue,83471,2,8.0,4,"서귀포, 대한민국"
제주 부영 호텔&리조트,07.25.Tue,185951,2,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,07.25.Tue,345454,2,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,07.25.Tue,92752,2,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,07.25.Tue,48348,2,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,07.25.Tue,113843,2,8.2,4,"제주, 대한민국"
그랜드 조선 제주,07.25.Tue,433500,2,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,07.25.Tue,176786,2,8.5,4,"제주, 대한민국"
롯데 호텔 제주,07.26.Wed,500000,1,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,07.26.Wed,76186,1,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,07.26.Wed,620000,1,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,07.26.Wed,60911,1,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,07.26.Wed,204680,1,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,07.26.Wed,114436,1,8.1,5,"제주, 대한민국"
에코랜드 호텔,07.26.Wed,344213,1,8.6,5,"제주, 대한민국"
제주 신라 호텔,07.26.Wed,496548,1,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,07.26.Wed,181818,1,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,07.26.Wed,427998,1,8.8,5,"제주, 대한민국"
신라스테이 제주,07.26.Wed,113850,1,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,07.26.Wed,88055,1,7.7,4,"제주, 대한민국"
호텔 브릿지 서귀포,07.26.Wed,83471,1,8.0,4,"서귀포, 대한민국"
제주 부영 호텔&리조트,07.26.Wed,180992,1,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,07.26.Wed,345454,1,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,07.26.Wed,92752,1,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,07.26.Wed,48348,1,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,07.26.Wed,113843,1,8.2,4,"제주, 대한민국"
그랜드 조선 제주,07.26.Wed,433500,1,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,07.26.Wed,176786,1,8.5,4,"제주, 대한민국"
롯데 호텔 제주,07.26.Wed,500000,2,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,07.26.Wed,76186,2,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,07.26.Wed,620000,2,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,07.26.Wed,60911,2,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,07.26.Wed,204680,2,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,07.26.Wed,114436,2,8.1,5,"제주, 대한민국"
에코랜드 호텔,07.26.Wed,344213,2,8.6,5,"제주, 대한민국"
제주 신라 호텔,07.26.Wed,496548,2,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,07.26.Wed,181818,2,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,07.26.Wed,427998,2,8.8,5,"제주, 대한민국"
신라스테이 제주,07.26.Wed,113850,2,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,07.26.Wed,88055,2,7.7,4,"제주, 대한민국"
호텔 브릿지 서귀포,07.26.Wed,83471,2,8.0,4,"서귀포, 대한민국"
제주 부영 호텔&리조트,07.26.Wed,185951,2,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,07.26.Wed,345454,2,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,07.26.Wed,92752,2,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,07.26.Wed,48348,2,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,07.26.Wed,113843,2,8.2,4,"제주, 대한민국"
그랜드 조선 제주,07.26.Wed,433500,2,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,07.26.Wed,176786,2,8.5,4,"제주, 대한민국"
